path	codec	height	container_fps	decode_fps_1	decode_fps_2	interlaced	progressive	verdict
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e05 - Beer Bad.mp4	h264	720	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e06 - Wild at Heart.mp4	h264	720	24000/1001	24.00	24.00	0	710	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e07 - The Initiative.mp4	h264	720	24000/1001	24.00	24.00	0	711	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e08 - Pangs.mp4	h264	720	24000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e09 - Something Blue.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e10 - Hush.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e11 - Doomed.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e12 - A New Man.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e13 - The I in Team.mkv	mpeg2video	480	30000/1001	26.46	24.00	369	422	INTERLACED_NEEDS_IVTC
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e14 - Goodbye Iowa.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e16 - Who Are You?.mkv	mpeg2video	480	30000/1001	24.00	24.06	0	719	SOFT_TC_NO_FILTER
